id,FalseSent,ref1,ref2,ref3
8566,كانت الأرض نظيفة ، لذلك بدأ يمسح الأرض,لا داعي لتنظيف الأرضية عند عدم وجود غبار عليها,الأرض الناصعة لا تحتاج إلى كنسها.,الأرضية نظيفة جدًا لدرجة أنها لا تحتاج إلى تنظيف
8567,كان الفيلم مضحكًا لدرجة أنه بكى بحزن,إن مشاهدة الأفلام المضحكة يمكن أن تجعل الناس يضحكون ولا يبكون,كان الفيلم مرحًا للغاية ، وكان يضحك بشدة لدرجة أن معدته تؤلمه.,المضحك لا يجعل الناس حزينين
8568,كانت المشكلة صعبة للغاية لدرجة أنه حلها بسهولة,يتطلب حل المشكلات الصعبة الكثير من الوقت والطاقة,كانت المشكلة بسيطة للغاية وتم حلها بسهولة.,الأشياء الصعبة ليست سهلة
8569,ذهب إلى المتحف في منتصف الليل,معظم المتاحف مغلقة في الليل,المتحف مغلق في منتصف الليل.,عادة ما يتم إغلاق المتحف في منتصف الليل
8570,يخاف الظلام فيخرج كل ليلة,الشخص الذي يخاف من الظلام لن يخرج في الليل لأن الظلام بالخارج في الليل,يحل الظلام ليلاً ، لذا فإن الخروج من المنزل سيجعله أكثر خوفًا.,يظهر الظلام في الليل وعليه أيضًا أن يخاف من الخروج في الليل.
8571,لديه ذاكرة سيئة ولا ينسى أبدًا أي شيء,من السهل أن تنسى الأشياء عندما يكون لديك ذاكرة سيئة,تؤدي الذاكرة السيئة دائمًا إلى نسيان الأشياء.,الذاكرة السيئة تعني أنك نسيت الكثير
8572,لعب لحن على الطاولة,الجدول ليس أداة,الطاولة ليست أداة,الطاولة ليست آلة موسيقية
8573,هي طويلة وقصيرة,لا يمكن استخدام الطول والقصير لوصف نفس الشخص,لا يمكنك أن تكون قصيرًا وطويلًا في نفس الوقت.,هي طويلة جدا ونحيلة.
8574,قفزت النملة فوق الشجرة,النملة لا تستطيع القفز,النمل أصغر من أن يقفز بشكل ملحوظ.,النمل العادي لا يقفز.
8575,قام بتشغيل التلفزيون أولاً وتوصيل الطاقة,لا يمكن تشغيل التليفزيون إلا إذا تم توصيله أولاً,بدون توصيل الطاقة ، لا يمكننا تشغيل التلفزيون.,تحتاج إلى توصيل التلفزيون قبل أن يعمل
8576,غالبًا ما يحلم ، لذا فإن نوعية نومه جيدة جدًا,لا تحلم كثيرًا عندما تنام جيدًا,الأحلام يمكن أن تزعج نومك.,يمكن للأحلام أن تجعل الناس قلقين عندما ينامون.
8577,كان يشعر بالنعاس ، فرفع هاتفه الخلوي وعاد إلى الإنترنت,عندما تشعر بالنعاس ، يجب ألا تستمر في اللعب بهاتفك,بمجرد أن تشعر بالنعاس ، فأنت تريد فقط الذهاب إلى الفراش.,إذا كنت متعبًا تذهب إلى النوم فلا تبقى مستيقظًا على هاتفك
8578,تحولت بشرته إلى اللون الأبيض بعد أن ذهب إلى الصحراء,تعمل الأشعة فوق البنفسجية في الصحراء على تغميق لون البشرة,الشمس في الصحراء تجعل الجلد يتحول إلى اللون الأسود,المناخ في الصحراء حار
8579,قام بتنظيف الطاولة بورق الصنفرة,سوف يتسبب ورق الصنفرة في إتلاف سطح الطاولة,ورق الصنفرة سيتلف الطاولة,ورق الصنفرة سيتلف الطاولة.
8580,يبلغ من العمر 12 عامًا وهو بالغ الآن,فقط بعد 18 عامًا يصبح بالغًا,في عمر 12 عامًا ، لم تبلغ بشكل كامل ، لذلك ما زلت طفلاً.,12 أصغر من أن تكون بالغًا
8581,لقد أنفق كل أمواله ، لذلك كان لا يزال هناك الكثير من المال في المحفظة,عندما تم إنفاق الأموال ، لم يكن هناك فلس واحد في المحفظة,لقد أنفق كل أمواله ، لذا كانت محفظته فارغة.,إذا أنفق شخص ما كل أمواله ، لم يتبق له نقود
8582,لا يحب الأماكن المزدحمة ، لذلك يذهب دائمًا إلى المركز التجاري,يوجد دائمًا الكثير من الأشخاص في المركز التجاري,المول ليس خاليا من الزحام.,المول مكان مزدحم.
8583,قام بوضع غراء شفاف على الجرح لوقف النزيف,الغراء الشفاف ليس له تأثير مرقئ على الإطلاق,لا يستخدم الغراء عادة لتقديم الإسعافات الأولية.,يمكن أن يصيب الغراء المنطقة المصابة.
8584,أمي لديها لحية,النساء لا يطلقن اللحى,أمي ، عادة ما تكون امرأة وليس لها لحى.,لا يمكن للمرأة أن تنمو شعر الوجه لدرجة أن يكون لديها لحية ملحوظة ما لم يكن لديها حالة وراثية نادرة.
8585,أخي الأكبر أصغر مني بسنتين,يجب أن يكون الأخ الأكبر للشخص أكبر منه,يمكن لأخي الأكبر أن يكون دائمًا أكبر مني.,أخي الأصغر أكبر مني بسنتين
8586,وضع الزجاج بقوة على الأرض,النظارات هشة ، لذا يجب أن تأخذها باستخفاف,سيؤدي وضع الزجاج في الأسفل بقوة إلى كسره.,الزجاج هش ويمكن أن ينكسر بالقوة.
8587,يعاني من حساسية تجاه الفول السوداني ، لذلك غالبًا ما يأكل زبدة الفول السوداني,زبدة الفول السوداني مصنوعة من الفول السوداني,إذا كنت تعاني من حساسية تجاه الفول السوداني ، فلا يجب أن تأكل أي شيء يحتوي على الفول السوداني.,إذا كان شخص ما لديه حساسية تجاه شيء ما ، فإنه يتجنب ذلك الشيء
8588,كان الجو صاخبًا جدًا في الخارج ، لذلك فتح النافذة,سيؤدي فتح النافذة إلى رفع صوت الضوضاء,سيؤدي فتح النافذة إلى زيادة مستوى الصوت الذي يسمعه المرء في الخارج.,فتح النافذة سيسمح بدخول المزيد من الضوضاء ، وبالتالي لن يجعل البيئة أقل ضوضاء.
8589,فكسر الحاكم وألقاه في سلة المهملات,من الصعب للغاية تجعيد المسطرة,يمكن أن يتفتت الورق ويمكن إعادة تدويره.,المسطرة صلبة وغير قادرة على التكتل.
8590,ذهب للصيد في حوض السمك,لا يسمح بالصيد في الأكواريوم,حوض السمك صغير جدًا لممارسة الصيد.,أنت لا تصطاد في حوض السمك
8591,لقد لدغه الجرو,الجرو لا يلدغ الناس,لقد لدغته نحلة.,الجراء لها ذيول تهتز وليست لاذعة ، ويمكن أن تكون ضارة فقط عن طريق العض أو الخدش.
8592,لقد أمطرت الليلة الماضية والطريق جاف,سوف يبلل المطر الطريق,عند سقوط قطرات سائلة على الأرض تجعل المياه مبللة في الأرض,المطر يجعل الطرق رطبة.
8593,إنها تجري في الكعب العالي,الجري في الكعب العالي غير مريح,الكعب العالي يصعب السير فيه ، ناهيك عن الجري.,الكعب العالي مؤلم وخطير عند الركض فيه.
